,date,name,category,value
0,2012,Black,Black,99
1,2012,Natural,Natural,12
2,2012,Navy,Navy,15
3,2012,White,White,39
4,2013,Black,Black,219
7,2013,Navy,Navy,34
8,2013,Chili Pepper Red,Chili Pepper Red,92
