zip,num
80112,2
12771,2
18938,2
80205,8
53705,4
11002,3
02539,1
63117,3
63501,1
84532,11
07082,2
80736,4
01845,4
10549,6
02465,2
07945,2
71106,6
11968,3
11530,2
83835,7
32320,1
78257,2
13820,5
11204,1
90069,3
30518,3
94110,6
61550,34
53597,1
89012,2
19958,2
01741,2
33071,3
80007,13
80247,2
21617,2
50325,2
92658,2
94508,6
33496,19
93446,7
19807,3
20176,1
94558,2
18974,1
28104,7
22182,2
77001,1
07307,8
30327,2
48236,12
63105,8
94010,7
20850,7
93405,2
91773,2
37064,1
40220,4
94025,22
60035,14
84032,2
80227,1
30022,1
80228,2
53562,3
95818,1
84121,1
02141,2
94111,7
28562,2
94506,3
52803,1
08648,9
98498,1
10075,7
02556,2
06824,1
20815,33
80517,15
10710,1
10107,1
94610,3
85205,3
54703,2
98467,3
29407,8
80138,5
27101,23
27217,4
82009,2
85260,2
53098,7
40513,6
30337,10
94549,27
93012,3
30344,4
77024,26
92270,3
37203,1
93451,5
30319,4
17325,1
78703,27
80218,2
80524,2
98110,6
02481,2
48220,1
97459,5
07016,3
75001,2
94089,9
48187,2
11050,8
94023,3
60189,2
98027,2
25411,3
90498,3
76126,4
92110,1
94123,31
95051,8
30326,3
10019/,2
10583,10
78701,12
43082,1
75013,3
19027,1
80130,1
37030,6
92013,2
10709,2
19106,10
33484,3
78209,9
93953,13
78239,1
94087,7
31021,2
60187,4
60015,2
87144,1
98303,1
10019,2
04401,11
55406,1
80015,8
60558,7
02176,20
46814,1
76049,1
94531,3
29926,10
28207,15
80018,1
06410,11
75061,2
27016,59
06259,3
97034,4
56377,2
60025,14
02739,13
02210,8
31126,5
15601,7
75703,1
941025032,4
80121,2
29401,3
32819,2
92625,2
60457,7
95014,36
89134,2
87504,2
75380,8
80304,13
14626f,1
07450,2
87506,12
91932,12
33704,4
01748,14
29223,2
54952,3
99202,5
94611,9
17601,1
94903,14
78665,5
43204,1
60062,15
08742,1
06001,3
80207,22
80108,16
93922,3
27403,6
94040,2
93901,2
75069,1
28739,4
91436,3
27510,1
94015,1
94115,63
55345,11
02118,6
29803,2
68516,2
55331,2
