sku,product_num,product_color,product_size,total_each_sku,product_unit_price,order_date,order_id
202-Navy-XS,202,Navy,XS,1,69,2015/01/01,1927
901-Navy-XS,901,Navy,XS,1,62,2015/01/01,1927
402-White-M,402,White,M,1,71,2012/01/01,918
402-Navy-M,402,Navy,M,1,69,2012/01/01,905
402-Black-M,402,Black,M,1,69,2012/01/01,892
402-White-M,402,White,M,1,69,2012/01/01,892
1030-Black-L,1030,Black,L,3,11,2014/01/01,1536
1031-White-L,1031,White,L,3,10,2014/01/01,1536
1031-Black-S,1031,Black,S,1,10,2015/01/01,1882
1031-Black-L,1031,Black,L,5,8,2015/01/01,2058
501-Navy-L,501,Navy,L,1,50,2015/01/01,2058
302-Black-M,302,Black,M,1,69,2012/01/01,881
1031-Black-M,1031,Black,M,1,22,2012/01/01,986
1050-Black-M,1050,Black,M,1,99,2012/01/01,986
301-Black-S,301,Black,S,1,62,2014/01/01,1519
1041-Black-S,1041,Black,S,1,80,2014/01/01,1519
601-White-S,601,White,S,1,62,2015/01/01,1934
1050-Black-S,1050,Black,S,1,99,2015/01/01,1934
1050-White-S,1050,White,S,1,99,2012/01/01,913
601-Black-S,601,Black,S,1,62,2012/01/01,877
301-White-S,301,White,S,1,62,2015/01/01,1936
1020-Black-XS,1020,Black,XS,1,10,2015/01/01,1936
802-Black-XS,802,Black,XS,1,71,2012/01/01,861
202-Natural-S,202,Natural,S,1,69,2012/01/01,882
1050-Black-XS,1050,Black,XS,1,99,2012/01/01,882
1020-White-L,1020,White,L,1,12,2014/01/01,1535
802-Black-L,802,Black,L,1,71,2014/01/01,1535
302-Black-S,302,Black,S,1,69,2012/01/01,928
1040-Black-L,1040,Black,L,1,82,2012/01/01,883
1020-White-L,1020,White,L,1,28,2012/01/01,883
202-Black-S,202,Black,S,1,69,2013/01/01,1078
1050-Black-XS,1050,Black,XS,1,80,2013/01/01,1078
1050-White-M,1050,White,M,1,95,2012/01/01,857
202-Black-S,202,Black,S,1,69,2014/01/01,1497
601-Black-L,601,Black,L,1,62,2012/01/01,900
601-White-L,601,White,L,1,62,2012/01/01,900
1030-Black-L,1030,Black,L,1,22,2012/01/01,900
601-Black-L,601,Black,L,1,62,2014/01/01,1542
601-Black-XS,601,Black,XS,1,62,2012/01/01,865
302-Black-M,302,Black,M,1,69,2013/01/01,1119
301-Navy-M,301,Navy,M,1,62,2013/01/01,1119
1031-Black-S,1031,Black,S,1,10,2014/01/01,1485
1050-White-S,1050,White,S,1,99,2014/01/01,1485
501-Navy-S,501,Navy,S,1,62,2014/01/01,1485
501-Black-L,501,Black,L,1,62,2014/01/01,1491
1031-Black-M,1031,Black,M,2,10,2014/01/01,1491
501-Navy-L,501,Navy,L,1,62,2014/01/01,1491
402-Black-M,402,Black,M,1,69,2014/01/01,1653
802-Black-S,802,Black,S,1,71,2014/01/01,1653
301-Navy-XS,301,Navy,XS,1,62,2014/01/01,1539
202-White-XS,202,White,XS,1,69,2013/01/01,1049
202-Java-XS,202,Java,XS,1,69,2013/01/01,1049
401-Black-M,401,Black,M,1,62,2014/01/01,1483
401-Navy-M,401,Navy,M,1,62,2014/01/01,1483
1031-Black-M,1031,Black,M,1,10,2014/01/01,1493
402-White-M,402,White,M,1,69,2014/01/01,1493
802-Black-M,802,Black,M,1,71,2014/01/01,1493
9001-White-S,9001,White,S,1,77.51,2017/01/01,3103
302-Black-XS,302,Black,XS,1,69,2014/01/01,1478
201-White-M,201,White,M,1,67,2017/01/01,2979
202-Navy-XL,202,Navy,XL,1,74,2016/01/01,2756
402-Black-L,402,Black,L,1,74,2017/01/01,2922
